node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
394 395 17 -0.9250 -0.6921 -4.4778 -1.1149 -0.7869 -4.6099 0.0400 1.2543 19.5103 2 2 17  
30 31 1 0.2722 -1.1265 -9.3759 0.2623 -1.1845 -9.5139 0.2000 1.2676 20.0000 1 2 1  
31 32 1 0.2623 -1.1845 -9.5139 0.2862 -1.3034 -9.7325 0.2000 1.3147 20.0000 1 2 1  
22 4129 217 0.5650 -1.0829 -7.6548 0.7916 -0.9939 -7.7117 0.0400 1.3412 18.7842 2 2 217  
3514 3515 184 0.6687 -1.0763 -7.1172 0.9050 -1.0861 -7.1980 0.0400 1.3454 18.9062 2 2 184  
2898 2899 151 0.0187 -0.7072 -6.7690 -0.1370 -0.6530 -6.9569 0.0400 1.3507 19.0279 2 2 151  
2277 2278 118 -0.2171 -1.3104 -6.1378 -0.2978 -1.5087 -6.2670 0.0400 1.3573 19.1491 2 2 118  
32 33 1 0.2862 -1.3034 -9.7325 0.3476 -1.3870 -9.9600 0.2000 1.3619 20.0000 1 2 1  
1653 1654 85 0.7633 -0.3732 -5.8117 0.9359 -0.3371 -5.9889 0.0400 1.3652 19.2699 2 2 85  
1025 1026 51 1.1341 -0.7344 -5.1069 1.3238 -0.8065 -5.2529 0.0400 1.3743 19.3903 2 2 51  
395 396 17 -1.1149 -0.7869 -4.6099 -1.2848 -0.9111 -4.7449 0.0400 1.3846 19.5103 2 2 17  
33 34 1 0.3476 -1.3870 -9.9600 0.3860 -1.4421 -10.0941 0.2000 1.3902 20.0000 1 2 1  
34 35 1 0.3860 -1.4421 -10.0941 0.4270 -1.5118 -10.3307 0.2000 1.4375 20.0000 1 2 1  
25 4740 250 0.5492 -0.9987 -8.2950 0.7166 -1.1109 -8.4430 0.0400 1.4637 18.6617 2 2 250  
4129 4130 217 0.7916 -0.9939 -7.7117 1.0241 -0.9114 -7.7520 0.0400 1.4674 18.7842 2 2 217  
3515 3516 184 0.9050 -1.0861 -7.1980 1.1378 -1.0889 -7.2891 0.0400 1.4724 18.9062 2 2 184  
2899 2900 151 -0.1370 -0.6530 -6.9569 -0.2970 -0.6059 -7.1431 0.0400 1.4786 19.0279 2 2 151  
35 36 1 0.4270 -1.5118 -10.3307 0.5084 -1.6100 -10.5456 0.2000 1.4848 20.0000 1 2 1  
2278 2279 118 -0.2978 -1.5087 -6.2670 -0.3803 -1.7057 -6.3969 0.0400 1.4860 19.1491 2 2 118  
1654 1655 85 0.9359 -0.3371 -5.9889 1.1244 -0.3191 -6.1521 0.0400 1.4947 19.2699 2 2 85  
1026 1027 51 1.3238 -0.8065 -5.2529 1.4939 -0.8484 -5.4313 0.0400 1.5046 19.3903 2 2 51  
36 37 1 0.5084 -1.6100 -10.5456 0.5527 -1.6578 -10.6808 0.2000 1.5133 20.0000 1 2 1  
396 397 17 -1.2848 -0.9111 -4.7449 -1.4573 -1.0248 -4.8857 0.0400 1.5158 19.5103 2 2 17  
37 38 1 0.5527 -1.6578 -10.6808 0.6095 -1.7332 -10.9123 0.2000 1.5607 20.0000 1 2 1  
28 5349 283 0.3836 -0.9529 -8.9205 0.1683 -0.8303 -8.9541 0.0400 1.5866 18.5388 2 2 283  
4740 4741 250 0.7166 -1.1109 -8.4430 0.8852 -1.2179 -8.5934 0.0400 1.5899 18.6617 2 2 250  
4130 4131 217 1.0241 -0.9114 -7.7520 1.2347 -0.8272 -7.8572 0.0400 1.5944 18.7842 2 2 217  
3516 3517 184 1.1378 -1.0889 -7.2891 1.3670 -1.0982 -7.3886 0.0400 1.6002 18.9062 2 2 184  
2900 2901 151 -0.2970 -0.6059 -7.1431 -0.4601 -0.5664 -7.3284 0.0400 1.6072 19.0279 2 2 151  
38 39 1 0.6095 -1.7332 -10.9123 0.6664 -1.8202 -11.1396 0.2000 1.6082 20.0000 1 2 1  
2279 2280 118 -0.3803 -1.7057 -6.3969 -0.3588 -1.8591 -6.5932 0.0400 1.6155 19.1491 2 2 118  
1655 1656 85 1.1244 -0.3191 -6.1521 1.3133 -0.3595 -6.3108 0.0400 1.6250 19.2699 2 2 85  
1027 1028 51 1.4939 -0.8484 -5.4313 1.6496 -0.8681 -5.6259 0.0400 1.6358 19.3903 2 2 51  
39 40 1 0.6664 -1.8202 -11.1396 0.6826 -1.8510 -11.2855 0.2000 1.6368 20.0000 1 2 1  
397 398 17 -1.4573 -1.0248 -4.8857 -1.6330 -1.1412 -5.0201 0.0400 1.6479 19.5103 2 2 17  
40 41 1 0.6826 -1.8510 -11.2855 0.6978 -1.8774 -11.5337 0.2000 1.6844 20.0000 1 2 1  
31 5955 316 0.2623 -1.1845 -9.5139 0.0560 -1.3146 -9.4587 0.0400 1.7099 18.4155 2 2 316  
5349 5350 283 0.1683 -0.8303 -8.9541 -0.0343 -0.7048 -9.0298 0.0400 1.7128 18.5388 2 2 283  
4741 4742 250 0.8852 -1.2179 -8.5934 1.0601 -1.3431 -8.7208 0.0400 1.7169 18.6617 2 2 250  
4131 4132 217 1.2347 -0.8272 -7.8572 1.4225 -0.7308 -7.9912 0.0400 1.7222 18.7842 2 2 217  
3517 3518 184 1.3670 -1.0982 -7.3886 1.6009 -1.1236 -7.4730 0.0400 1.7289 18.9062 2 2 184  
41 42 1 0.6978 -1.8774 -11.5337 0.6346 -1.9040 -11.7741 0.2000 1.7320 20.0000 1 2 1  
2901 2902 151 -0.4601 -0.5664 -7.3284 -0.6131 -0.4963 -7.5132 0.0400 1.7367 19.0279 2 2 151  
2280 2281 118 -0.3588 -1.8591 -6.5932 -0.3583 -2.0172 -6.7868 0.0400 1.7458 19.1491 2 2 118  
1656 1657 85 1.3133 -0.3595 -6.3108 1.5008 -0.4011 -6.4708 0.0400 1.7562 19.2699 2 2 85  
42 43 1 0.6346 -1.9040 -11.7741 0.5922 -1.9137 -11.9176 0.2000 1.7607 20.0000 1 2 1  
1028 1029 51 1.6496 -0.8681 -5.6259 1.8124 -0.8682 -5.8156 0.0400 1.7679 19.3903 2 2 51  
398 399 17 -1.6330 -1.1412 -5.0201 -1.8204 -1.2368 -5.1552 0.0400 1.7809 19.5103 2 2 17  
43 44 1 0.5922 -1.9137 -11.9176 0.5200 -1.9354 -12.1560 0.2000 1.8085 20.0000 1 2 1  
34 6556 348 0.3860 -1.4421 -10.0941 0.4493 -1.2851 -10.2781 0.0400 1.8336 18.2918 2 2 348  
5955 5956 316 0.0560 -1.3146 -9.4587 -0.1474 -1.4377 -9.3816 0.0400 1.8361 18.4155 2 2 316  
5350 5351 283 -0.0343 -0.7048 -9.0298 -0.2531 -0.6102 -9.1052 0.0400 1.8398 18.5388 2 2 283  
4742 4743 250 1.0601 -1.3431 -8.7208 1.2345 -1.4705 -8.8468 0.0400 1.8447 18.6617 2 2 250  
4132 4133 217 1.4225 -0.7308 -7.9912 1.6247 -0.6585 -8.1193 0.0400 1.8509 18.7842 2 2 217  
44 45 1 0.5200 -1.9354 -12.1560 0.4840 -1.9248 -12.4032 0.2000 1.8563 20.0000 1 2 1  
3518 3519 184 1.6009 -1.1236 -7.4730 1.8142 -1.1796 -7.5909 0.0400 1.8583 18.9062 2 2 184  
2902 2903 151 -0.6131 -0.4963 -7.5132 -0.7656 -0.4237 -7.6976 0.0400 1.8671 19.0279 2 2 151  
2281 2282 118 -0.3583 -2.0172 -6.7868 -0.3562 -2.1756 -6.9802 0.0400 1.8771 19.1491 2 2 118  
45 46 1 0.4840 -1.9248 -12.4032 0.4624 -1.9185 -12.5515 0.2000 1.8850 20.0000 1 2 1  
1657 1658 85 1.5008 -0.4011 -6.4708 1.6952 -0.4178 -6.6272 0.0400 1.8883 19.2699 2 2 85  
1029 1030 51 1.8124 -0.8682 -5.8156 1.9724 -0.8636 -6.0076 0.0400 1.9009 19.3903 2 2 51  
399 400 17 -1.8204 -1.2368 -5.1552 -1.9834 -1.3247 -5.3232 0.0400 1.9148 19.5103 2 2 17  
46 47 1 0.4624 -1.9185 -12.5515 0.4119 -1.9164 -12.7963 0.2000 1.9330 20.0000 1 2 1  
37 7152 380 0.5527 -1.6578 -10.6808 0.6089 -1.9009 -10.6966 0.0400 1.9578 18.1676 2 2 380  
6556 6557 348 0.4493 -1.2851 -10.2781 0.5410 -1.1419 -10.4613 0.0400 1.9598 18.2918 2 2 348  
5956 5957 316 -0.1474 -1.4377 -9.3816 -0.3544 -1.5695 -9.3340 0.0400 1.9631 18.4155 2 2 316  
5351 5352 283 -0.2531 -0.6102 -9.1052 -0.4778 -0.5577 -9.2012 0.0400 1.9676 18.5388 2 2 283  
